endpoint,allowed_http_methods,argument_count,arguments,return_type,auto_settings_capable,permissions_required,has_doc_string
reset_votekick_thresholds,POST,0,,<class 'bool'>,true,api.can_reset_votekick_threshold,false
reset_votemap_state,POST,0,,list[rcon.types.VoteMapStatusType],true,api.can_reset_votemap_state,false
reset_webhook_message_type,POST,1,message_type,<class 'int'>,true,api.can_change_webhook_queues,true
reset_webhook_queue,POST,1,queue_id,<class 'bool'>,true,api.can_change_webhook_queues,true
reset_webhook_queue_type,POST,1,webhook_type,<class 'int'>,true,api.can_change_webhook_queues,true
reset_webhook_queues,POST,0,,<class 'int'>,true,api.can_change_webhook_queues,true
run_raw_command,GET|POST,0,,,false,api.can_run_raw_commands,false
set_admin_pings_discord_webhooks_config,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_admin_pings_discord_webhooks_config,false
set_audit_discord_webhooks_config,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_audit_discord_webhooks_config,false
set_auto_broadcasts_config,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_auto_broadcast_config,false
set_auto_mod_level_config,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_auto_mod_level_config,false
set_auto_mod_no_leader_config,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_auto_mod_no_leader_config,false
set_auto_mod_seeding_config,POST,4,by|user_config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_auto_mod_seeding_config,false
set_auto_mod_solo_tank_config,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_auto_mod_solo_tank_config,false
set_auto_settings,POST,0,,,false,api.can_change_auto_settings,false
set_autobalance_enabled,POST,1,value,<class 'bool'>,true,api.can_change_autobalance_enabled,false
set_autobalance_threshold,POST,1,max_diff,<class 'bool'>,true,api.can_change_autobalance_threshold,false
set_broadcast,POST,1,message,<class 'str'>,true,api.can_change_broadcast_message,true
set_camera_discord_webhooks_config,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_camera_discord_webhooks_config,false
set_camera_notification_config,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_camera_config,false
set_chat_commands_config,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_chat_commands_config,false
set_chat_discord_webhooks_config,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_chat_discord_webhooks_config,false
set_dynamic_weather_enabled,POST,2,map_name|enabled,,true,api.can_set_dynamic_weather_enabled,false
set_expired_vip_config,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_expired_vip_config,false
set_game_layout,POST,2,objectives|random_constraints,,true,api.can_change_game_layout,false
set_idle_autokick_time,POST,1,minutes,<class 'bool'>,true,api.can_change_idle_autokick_time,false
set_kills_discord_webhooks_config,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_kills_discord_webhooks_config,false
set_log_line_webhook_config,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_log_line_discord_webhook_config,false
set_log_stream_config,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_log_stream_config,false
set_map,POST,1,map_name,None,true,api.can_change_current_map,false
set_map_rotation,POST,1,map_names,,true,api.can_add_map_to_rotation|api.can_remove_map_from_rotation|api.can_view_map_rotation,false
set_map_shuffle_enabled,POST,1,enabled,None,true,api.can_change_map_shuffle_enabled,false
set_match_timer,POST,2,game_mode|length,,true,api.can_set_match_timer,false
set_max_ping_autokick,POST,1,max_ms,<class 'bool'>,true,api.can_change_max_ping_autokick,false
set_name_kick_config,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_name_kick_config,false
set_profanities,POST,1,profanities,list[str],true,api.can_ban_profanities|api.can_unban_profanities|api.can_view_profanities,false
set_queue_length,POST,1,value,<class 'bool'>,true,api.can_change_queue_length,false
set_rcon_chat_commands_config,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_rcon_chat_commands_config,false
set_rcon_connection_settings_config,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_rcon_connection_settings_config,false
set_rcon_server_settings_config,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_rcon_server_settings_config,false
set_real_vip_config,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_real_vip_config,false
set_scoreboard_config,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_scorebot_config,false
set_seed_vip_config,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_seed_vip_config,false
set_server_name,POST,1,name,,true,api.can_change_server_name,false
set_server_name_change_config,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_server_name_change_config,false
set_standard_broadcast_messages,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_standard_broadcast_messages,false
set_standard_punishments_messages,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_standard_punishment_messages,false
set_standard_welcome_messages,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_standard_welcome_messages,false
set_steam_config,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_steam_config,false
set_team_switch_cooldown,POST,1,minutes,<class 'bool'>,true,api.can_change_team_switch_cooldown,false
set_tk_ban_on_connect_config,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_tk_ban_on_connect_config,false
set_vac_game_bans_config,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_vac_game_bans_config,false
set_vip_slots_num,POST,1,value,<class 'bool'>,true,api.can_change_vip_slots,false
set_votekick_autotoggle_config,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_votekick_autotoggle_config,false
set_votekick_enabled,POST,1,value,<class 'bool'>,true,api.can_change_votekick_enabled,false
set_votekick_thresholds,POST,1,threshold_pairs,,true,api.can_change_votekick_threshold,false
set_votemap_config,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_votemap_config,false
set_votemap_whitelist,POST,1,map_names,,true,api.can_set_map_whitelist,false
set_warmup_timer,POST,2,game_mode|length,,true,api.can_set_warmup_timer,false
set_watch_killrate_config,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_watch_killrate_config,false
set_watchlist_discord_webhooks_config,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_watchlist_discord_webhooks_config,false
set_welcome_message,POST,1,message,<class 'str'>,true,api.can_change_welcome_message,true
switch_player_now,POST,1,player_id,<class 'bool'>,true,api.can_switch_players_immediately,false
switch_player_on_death,POST,2,player_id|by,<class 'bool'>,true,api.can_switch_players_on_death,false
temp_ban,POST,5,player_id|duration_hours|reason|by|player_name,<class 'bool'>,true,api.can_temp_ban_players,false
unban,POST,1,player_id,<class 'bool'>,true,api.can_remove_perma_bans|api.can_remove_temp_bans,true
unban_profanities,POST,1,profanities,<class 'bool'>,true,api.can_unban_profanities,false
unblacklist_player,POST,1,player_id,<class 'bool'>,true,api.can_delete_blacklist_records|api.can_remove_perma_bans|api.can_remove_temp_bans,true
unflag_player,POST,3,flag_id|player_id|flag,<class 'rcon.types.PlayerFlagType'>,true,api.can_unflag_player,true
unwatch_player,POST,1,player_id,<class 'bool'>,true,api.can_remove_player_watch,false
upload_vips,POST,0,,,false,api.can_upload_vip_list,false
upload_vips_result,GET,0,,,false,api.can_upload_vip_list,false
validate_admin_pings_discord_webhooks_config,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_admin_pings_discord_webhooks_config,false
validate_audit_discord_webhooks_config,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_audit_discord_webhooks_config,false
validate_auto_broadcasts_config,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_auto_broadcast_config,false
validate_auto_mod_level_config,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_auto_mod_level_config,false
validate_auto_mod_no_leader_config,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_auto_mod_no_leader_config,false
validate_auto_mod_seeding_config,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_auto_mod_seeding_config,false
validate_auto_mod_solo_tank_config,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_auto_mod_solo_tank_config,false
validate_camera_discord_webhooks_config,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_camera_discord_webhooks_config,false
validate_camera_notification_config,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_camera_config,false
validate_chat_commands_config,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_chat_commands_config,false
validate_chat_discord_webhooks_config,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_chat_discord_webhooks_config,false
validate_expired_vip_config,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_expired_vip_config,false
validate_kills_discord_webhooks_config,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_kills_discord_webhooks_config,false
validate_log_line_webhook_config,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_log_line_discord_webhook_config,false
validate_log_stream_config,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_log_stream_config,false
validate_name_kick_config,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_name_kick_config,false
validate_rcon_chat_commands_config,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_rcon_chat_commands_config,false
validate_rcon_connection_settings_config,POST,4,by|config|reset_to_default|kwargs,<class 'bool'>,true,api.can_change_rcon_connection_settings_config,false
